Date,Open,High,Low,Close,Adj Close,Volume,days
2018-09-18,1704.219971,1714.920044,1704.219971,1710.969971,1710.969971,3091190000,144
2018-09-19,1710.880005,1717.089966,1700.51001,1702.930054,1702.930054,3302460000,145
2018-09-20,1704.709961,1720.209961,1704.709961,1720.180054,1720.180054,3406520000,146
2018-09-21,1720.150024,1724.380005,1710.969971,1712.319946,1712.319946,5652470000,147
2018-09-24,1711.670044,1711.73999,1697.76001,1705.319946,1705.319946,3392030000,148
2018-09-25,1705.48999,1712.079956,1705.48999,1708.810059,1708.810059,3330880000,149
2018-09-26,1709.069946,1710.839966,1690.920044,1691.609985,1691.609985,3417540000,150
2018-09-27,1691.72998,1697.170044,1689.73999,1690.530029,1690.530029,3101360000,151
2018-09-28,1689.839966,1699.780029,1686.98999,1696.569946,1696.569946,3461680000,152
2018-10-01,1697.829956,1703.810059,1669.819946,1672.98999,1672.98999,3375890000,153
2018-10-02,1672.97998,1674.869995,1653.339966,1656.040039,1656.040039,3432620000,154
2018-10-03,1656.310059,1677.170044,1656.310059,1671.290039,1671.290039,3625510000,155
2018-10-04,1671,1671,1643.660034,1646.910034,1646.910034,3510370000,156
2018-10-05,1647.25,1651.530029,1618.140015,1632.109985,1632.109985,3340820000,157
2018-10-08,1631.199951,1633.859985,1616.660034,1629.52002,1629.52002,3381820000,158
2018-10-09,1628.060059,1635.98999,1621.25,1621.869995,1621.869995,3531690000,159
2018-10-10,1621.410034,1621.410034,1575.25,1575.410034,1575.410034,4554260000,160
2018-10-11,1575.099976,1580.890015,1545.380005,1545.380005,1545.380005,4914090000,161
2018-10-12,1546.849976,1567.640015,1530.97998,1546.680054,1546.680054,4024010000,162
2018-10-15,1546.680054,1562.300049,1537.550049,1553.089966,1553.089966,3327160000,163
2018-10-16,1554.48999,1598.01001,1554.109985,1596.839966,1596.839966,3460260000,164
2018-10-17,1596.380005,1596.380005,1571.51001,1589.599976,1589.599976,3347090000,165
2018-10-18,1588.73999,1588.73999,1555.569946,1560.75,1560.75,3639300000,166
2018-10-19,1560.640015,1569.810059,1538.73999,1542.040039,1542.040039,3593940000,167
2018-10-22,1542.420044,1551.359985,1535.780029,1539.5,1539.5,3331270000,168
2018-10-23,1536.930054,1537.160034,1501.040039,1526.589966,1526.589966,4373710000,169
2018-10-24,1526.560059,1527.709961,1468.459961,1468.699951,1468.699951,4738670000,170
2018-10-25,1470.530029,1506.780029,1470.530029,1500.400024,1500.400024,4663930000,171
2018-10-26,1500.150024,1501.300049,1459.160034,1483.819946,1483.819946,4804330000,172
2018-10-29,1485.199951,1513.280029,1461.650024,1477.310059,1477.310059,4701260000,173
2018-10-30,1476.969971,1507.160034,1474.800049,1506.640015,1506.640015,5125600000,174
2018-10-31,1508.819946,1526.329956,1508.819946,1511.410034,1511.410034,5133380000,175
2018-11-01,1512.680054,1547.140015,1512.680054,1544.97998,1544.97998,4730250000,176
2018-11-02,1546.130005,1557.180054,1535.959961,1547.97998,1547.97998,4261230000,177
2018-11-05,1548.339966,1554.77002,1534.76001,1547.51001,1547.51001,3650910000,178
2018-11-06,1547.099976,1558.859985,1544.650024,1556.099976,1556.099976,3543800000,179
2018-11-07,1556.27002,1582.160034,1556.27002,1582.160034,1582.160034,3929080000,180
2018-11-08,1581.619995,1586.170044,1573.150024,1578.209961,1578.209961,3673550000,181
2018-11-09,1577.040039,1577.040039,1539.920044,1549.48999,1549.48999,4029030000,182
2018-11-12,1549.01001,1549.01001,1518.040039,1518.790039,1518.790039,3701570000,183
2018-11-13,1519.98999,1536.709961,1513.300049,1514.800049,1514.800049,4112820000,184
2018-11-14,1516.079956,1530.619995,1494.920044,1502.51001,1502.51001,4449060000,185
2018-11-15,1502.329956,1524.290039,1491.660034,1524.119995,1524.119995,4204960000,186
2018-11-16,1523.75,1530,1510.410034,1527.530029,1527.530029,3996970000,187
2018-11-19,1527.329956,1527.329956,1492.949951,1496.540039,1496.540039,3806940000,188
2018-11-20,1496.140015,1496.140015,1465.25,1469.01001,1469.01001,4370820000,189
2018-11-21,1469.449951,1499.369995,1469.449951,1488.280029,1488.280029,3237400000,190
2018-11-23,1485.72998,1498.650024,1476.810059,1488.680054,1488.680054,1651680000,191
2018-11-26,1489.099976,1510.290039,1489.099976,1505.959961,1505.959961,3523520000,192
2018-11-27,1505.449951,1505.449951,1491.27002,1492.859985,1492.859985,3494380000,193
2018-11-28,1493.670044,1530.709961,1486.339966,1530.380005,1530.380005,3984540000,194
2018-11-29,1529.699951,1534.619995,1514.569946,1525.390015,1525.390015,3599200000,195
2018-11-30,1524.869995,1535.130005,1519.98999,1533.27002,1533.27002,4668310000,196
2018-12-03,1536.329956,1553.339966,1529.530029,1548.959961,1548.959961,4221580000,197
2018-12-04,1548.109985,1548.109985,1479.910034,1480.75,1480.75,4515710000,198
2018-12-06,1479.160034,1479.160034,1442.829956,1477.410034,1477.410034,5180430000,199
2018-12-07,1477.51001,1485.630005,1440.849976,1448.089966,1448.089966,4242240000,200
